"","Estimate","Std_Error","DF","T_Value","P_Value"
"(Intercept)",222.241584933174,30.3314469883603,8.97347180021565,7.32710130902951,4.50393446875662e-05
"timepost",-47.9393259533312,17.8309190535288,121.86575343187,-2.6885504784928,0.00818090306335677
