"","Estimate","Std_Error","DF","T_Value","P_Value"
"(Intercept)",28.6327239403583,4.73609148363477,81.5888558539133,6.04564418556877,4.27030703856998e-08
"spread_typeahead1",-10.5549258980306,4.81306895804315,344.546115644715,-2.19297209120435,0.0289774014410667
"spread_typeahead2",-11.005532676543,5.62156476211497,346.821928189944,-1.95773474864363,0.0510626800452259
"spread_typeahead3",-10.2400193532496,7.52028498702874,347.80990136053,-1.36165309837486,0.174188736623936
"spread_typebehind1",-6.83921548878961,4.79448587184283,344.513160511057,-1.42647526170744,0.15463677338168
"spread_typebehind2",-0.341220277820089,4.87279991584901,344.674646521668,-0.0700255056051562,0.944213968455707
"spread_typebehind3",-12.209946920327,5.32914607309525,345.148821240261,-2.29116386619052,0.0225559856211847
"speed",0.0337341626955537,0.0121092460103335,109.479096376668,2.78581859405338,0.00629419738288728
