"","Estimate","Std_Error","DF","T_Value","P_Value"
"(Intercept)",203.106713813161,31.746247499069,8.83207003343576,6.39781800413157,0.000136441696359184
"gradeB",68.1718562964154,29.1118650963289,59.6098641289819,2.34172067199542,0.0225556026791825
