Date,MoCap csv name,Individual,Block Number,Trial Number,Grade,Pre Avg Speed,Post Avg Speed,Avg Body Angle Spread Ahead1,Avg Body Angle Spread Ahead2,Avg Body Angle Spread Ahead3,Avg Body Angle Spread Behind1,Avg Body Angle Spread Behind2,Avg Body Angle Spread Behind3,Avg Body Angle Spread FA,Pre Avg Body Angle Ahead1 (deg),Pre Avg Body Angle Ahead2 (deg),Pre Avg Body Angle Ahead3 (deg),Pre Avg Body Angle Behind1 (deg),Pre Avg Body Angle Behind2 (deg),Pre Avg Body Angle Behind3 (deg),Pre Avg Body Angle FA (deg),Post Avg Body Angle Ahead1 (deg),Post Avg Body Angle Ahead2 (deg),Post Avg Body Angle Ahead3 (deg),Post Avg Body Angle Behind1 (deg),Post Avg Body Angle Behind2 (deg),Post Avg Body Angle Behind3 (deg),Post Avg Body Angle FA (deg),Pre Area FA,Pre Area Ahead1,Pre Area Ahead2,Pre Area Ahead3,Pre Area Behind1,Pre Area Behind2,Pre Area Behind3,Post Area FA,Post Area Ahead1,Post Area Ahead2,Post Area Ahead3,Post Area Behind1,Post Area Behind2,Post Area Behind3
2024-12-05,2024-12-05_12-00_block2_snake02_trial02,2,2,2,A,406.8450865464423,279.4717321167222,55.784485399263666,19.76905881502991,27.510786890139915,29.242893879384944,26.39120790865732,nan,41.36468487241747,40.95434811244903,-4.18,21.699666253047038,37.92119252006909,2.5267297716270782,nan,-51.23,46.97677522615536,0.6919953500097952,33.57184734624013,nan,nan,nan,-62.89,11517.759250471125,10790.018754619887,9427.391321469095,9138.891976642719,6291.961198038205,6565.931076231825,299.82530921062977,14327.25389808745,16332.668560798886,7826.45,11598.767575355409,0.00,0.00,0.00
2024-12-05,2024-12-05_12-03_block2_snake02_trial05,2,2,5,A,367.8869313541393,286.2614763637432,42.56389834515056,19.135245814580394,6.767456657592013,22.795649828201462,13.876809307239443,nan,39.585016024834516,40.77127633606424,45.36650844554483,45.922857536280276,-26.10,24.49911579574977,nan,-51.03,49.38805677773279,44.43257961162473,47.71380018714102,nan,nan,nan,-41.14,15573.843708494922,12128.958231439497,11364.597511140353,3530.5619220298445,8929.971174696226,2138.3159529409822,54.54379119316444,34044.176937835844,8243.337593804055,18079.390514560764,9889.578676120107,3714.103103614151,0.00,0.00
2024-12-05,2024-12-05_13-34_block5_snake02_trial03,2,5,3,A,329.8313039226083,196.02290321686772,30.491521054946386,18.14086215262286,24.15700644133889,58.113331197550046,139.14688849035906,nan,34.16571237350512,9.450714477929319,-2.56,31.404381538224715,-1.09,-11.93,nan,-49.12,12.805227755228076,-4.85,23.62352722643169,-31.75,nan,nan,-55.75,11105.486521124367,5997.671437686549,5281.209911819204,3152.2330359310295,15577.508386325868,8051.590009933997,0.00,33084.28561979174,6202.02,6185.580833834988,8855.298195413012,12960.92431336375,0.00,0.00
2024-12-05,2024-12-05_13-35_block5_snake02_trial04,2,5,4,A,332.54261977535316,360.9456010595838,30.69213404082096,nan,nan,23.304366365598934,107.33834723397204,15.874263020938747,61.535963385258796,-23.68,nan,nan,-23.60,28.016803888055094,62.669545807990346,31.942622409646344,-27.88,nan,nan,-32.38,22.679433671072744,57.519169020518426,54.03303741331493,19715.028320337213,8271.514046291333,0.00,0.00,3205.458318009368,36092.07235076604,18341.577967491034,14663.789246311793,6826.0435646730975,4418.944015729105,845.3046435837397,5979.864990474717,9922.966672082604,5223.6359460377835
2024-12-05,2024-12-05_13-50_block6_snake11_trial05,11,6,5,A,196.37423540597004,133.51630774887698,28.576305570170277,11.587537391045117,nan,11.36832948351186,19.776434034333693,34.349354707747025,12.160418475965125,22.713647604921245,-18.11,nan,-45.20,58.76763665649591,-35.73,-24.02,33.87543045669664,-14.21,nan,-46.29,59.29288029506458,-48.95,-26.05,8746.525092686677,4053.714015761275,970.0004612541917,0.00,4283.040615858533,4248.656082932104,5591.092552890227,6788.033871911503,3940.412192785967,2012.21,289.11383633686637,7577.472789361064,3102.2116034096607,3176.2279615057782
2024-12-05,2024-12-05_13-59_block7_snake02_trial04,2,7,4,A,389.6196907978728,475.86631435038476,28.266561857588524,6.716583374378821,nan,32.15878923769172,27.971376199959447,34.23468457854591,54.21858059700398,30.329086776499583,6.194679438740096,nan,47.962456476882096,-43.92,-6.60,-40.49,37.714958167928366,6.126031146149547,nan,55.62151762881629,-54.42,nan,-55.18,13851.359430536166,9967.953411805529,775.6938565339705,0.00,7603.2626849996295,11017.02647997233,6707.837061393414,23595.759650769127,13927.98,9744.465351088333,11342.482706835011,12681.538498406006,2128.051435377864,0.00
2024-12-05,2024-12-05_14-12_block7_snake02_trial06,2,7,6,B,609.8053920834095,400.13096981685555,27.83809838250089,12.384407032428916,nan,36.86689487126624,99.24068344786949,17.291302931300024,55.400967217793514,25.32,15.784959774324077,nan,36.616641089340355,-58.07,-9.03,-34.43,33.866965321499734,11.708122913587836,nan,36.544531011175096,nan,nan,-55.50,15655.304646433195,19070.17016616131,3621.544455958185,186.50777265068393,4495.242082609825,17076.017871267723,3569.738406964592,30206.582080741595,17418.061592114696,10139.163693069959,9832.591425175613,3078.3290763653968,0.00,0.00
2024-12-05,2024-12-05_14-15_block8_snake11_trial01,11,8,1,A,239.5904256565105,200.60959461421004,28.016730218019244,16.61398459910775,28.60599921768585,27.62453190466574,2.7131647769699647,nan,47.17352152900793,-18.74,61.65346274339336,-23.35,-31.29,-22.14,nan,38.28765831434171,-14.55,65.10402974389156,-27.85,-15.57,nan,nan,10.019573180644278,8058.711909007267,5095.275476919762,5948.882465688012,3225.5181696587097,5163.049816228707,772.15,0.00,4712.774156340618,2493.5913640060653,5842.815468615393,2595.1534895201544,1731.9529526985252,0.00,0.00
2024-12-05,2024-12-05_14-17_block8_snake11_trial03,11,8,3,A,362.8493197297925,336.9935277201582,21.46642225547457,25.299387856639584,38.427841694215175,21.332804164788097,27.228865908185725,9.540819778437735,19.27782150778241,-5.00,1.1005860342177578,-45.74,-31.51,-36.90,44.610805697740325,56.24736874068973,-3.34,10.046162282053523,-57.03,-42.11,nan,nan,55.45711157594804,4055.4034602051556,5286.911663485375,2595.1629764943677,8981.034625831377,2866.311707366468,7595.827482710235,2582.345095456105,19944.604408582127,8329.384699691116,13452.195593348739,10986.581996321996,7345.4077523457245,76.72320025291519,0.00
2024-12-10,2024-12-10_11-56_block3_snake11_trial04,11,3,4,B,182.2660207429941,245.55359304782226,21.34253924390576,12.90,90.73004038757055,17.51954728604611,nan,nan,30.22086473091034,35.565833961197534,39.75281298173916,-52.94,41.244526095331544,nan,nan,-40.58,44.418286026461686,45.220394942208614,-55.81,nan,nan,nan,-55.83,6586.769278272643,6608.641616849843,2088.2319960230693,4975.083954688405,2996.7443557471056,0.00,0.00,3212.216225794428,5560.072916914179,2260.255145988761,4816.412516701601,0.00,0.00,0.00
2024-12-10,2024-12-10_11-57_block3_snake11_trial05,11,3,5,A,95.64924895175962,54.56082149415762,10.068802188306059,11.011255918365492,nan,10.598030624112234,8.883268278584872,7.904431956836563,40.10730289817722,-5.15,-36.57,nan,19.103333075489207,32.29069862016081,50.80384435930595,-51.06,-5.69,-31.85,nan,18.539417174876316,35.236620108815224,50.02470341679266,-52.11,2912.9264093056668,1951.1625302984526,2966.2850057284527,0.00,1716.3079930449394,971.5849088691714,1580.4954482318362,12633.072334129052,3576.245090415088,1071.7501154200147,0.00,2839.2453909123938,642.6166575844996,1191.6820983655134
2024-12-10,2024-12-10_11-58_block3_snake11_trial06,11,3,6,A,147.18162045070667,142.67718289285597,27.716506354765126,20.009202318262382,nan,22.507362549026926,17.538874829705517,19.71269746098778,19.671526204142854,-50.35,9.106834931048695,nan,-9.88,-51.31,38.94917708221635,33.361933802976836,-55.00,15.889264352199481,nan,-9.79,-49.49,43.74095997207616,40.16999384726153,2940.3505646613085,4892.81,3128.945415025872,0.00,1526.2367759220544,7157.982480929779,2638.2726711929795,8465.88,5059.966985425853,4468.240706603025,111.63272165763365,3803.6416954250403,2011.3352876526847,1830.3309740807267
2024-12-10,2024-12-10_12-03_block4_snake02_trial03,2,4,3,A,242.59123234522403,236.11986680232198,15.414253204797713,nan,nan,15.23354734125211,15.992143393618262,23.777038311197302,19.214507209821832,7.509110774892192,nan,nan,14.71909207127481,-57.42,52.431341040272436,10.84,3.9387632605776353,nan,nan,16.24811937073573,-53.17,45.09839353911044,10.401680006035233,2504.4184650796556,1700.4610981397352,80.96845022132733,0.00,6286.1781197408345,5847.957215844071,6073.163386317485,7971.458666066979,8553.352004719882,5856.402000663352,607.5397984244618,8787.258689406108,7256.7541366538435,3513.7077344416934
2024-12-10,2024-12-10_12-04_block4_snake02_trial04,2,4,4,B,166.8718754742279,124.07000960826826,49.904286676067954,nan,nan,17.26458681500843,20.508484760003395,23.25648689100338,21.250230233399634,-35.24,nan,nan,-30.17,-13.37,-7.66,40.32929418523308,-56.15,nan,nan,-34.57,-18.05,-16.48,50.80545292973952,4044.0389124641692,9081.347748072465,1971.81,0.00,5068.508825485332,3935.8006787366103,7863.454752332814,10214.571779867081,2987.257253310397,2909.1424521857834,0.00,3781.5448774642186,1691.7548919849141,1074.6239255849096
2024-12-11,2024-12-11_11-46_block1_snake14_trial02,14,1,2,B,497.50325060393953,569.7213397619714,51.28306208794609,45.98676368485441,12.475905900281218,59.956045365611935,21.930550784504952,48.39596138520991,52.561336697475774,20.520522335364856,-10.65,41.77090606129704,-43.22,-31.70,39.95033124258242,46.951005151282246,-3.05,-18.77,48.766308659828304,nan,nan,nan,62.672947406759555,20161.660927760655,9332.558876187813,10218.662115439072,1351.4052566768864,21573.84777026045,15687.57407833722,6073.685688164654,28113.653696697063,6005.176829197012,4711.492847501175,12685.258880053647,1071.537854418157,0.00,0.00
