"","Estimate","Std_Error","DF","T_Value","P_Value"
"(Intercept)",200.377633838064,30.1521762328576,10.9728160775774,6.64554466286606,3.67674991252306e-05
"timepost",-33.8028962328783,21.6672473137382,120.027923950891,-1.56009186323569,0.121371026237573
"gradeB",69.9118937446321,26.7832267067763,122.242635334205,2.6102864494271,0.010177633230079
"timepost:gradeB",-40.5654070239086,36.7038642712713,120.02792394802,-1.10520807084773,0.271279914397227
